query_idx,query_name,method,retrieved_name,l2,acc@0.1,recall,cosine,module,missing
6,Acoustic Sim,TRR-TopKWeightedMean,wmean@5 (Acoustic Sim Natural),0.25774791564636934,0.6666666666666666,0.6363636363636364,0.9140584393045741,1.0,0
6,Acoustic Sim,TRR+LLM,Acoustic Sim Natural,0.39055593115089526,0.6071428571428571,0.36363636363636365,0.6795575830370985,0.4,0
6,Acoustic Sim,Text-RAG,Studio Clean,0.02150555852841417,1.0,1.0,0.9989204758298212,1.0,0
6,Acoustic Sim,Text+LLM,Studio Clean,0.2517128061615346,0.7857142857142857,0.45454545454545453,0.7557592729271433,0.4,0
7,Lo-Fi Hip Hop,TRR,Lo-Fi Hip Hop Chill,0.048308514663014696,0.9523809523809523,1.0,0.9854432769404726,1.0,0
7,Lo-Fi Hip Hop,TRR-TopKMean,mean@5 (Lo-Fi Hip Hop Chill),19.143856428109473,0.38095238095238093,0.3333333333333333,0.012662058773416075,1.0,0
7,Lo-Fi Hip Hop,TRR-TopKWeightedMean,wmean@5 (Lo-Fi Hip Hop Chill),18.7870009323072,0.38095238095238093,0.3333333333333333,0.012901855922460312,1.0,0
7,Lo-Fi Hip Hop,TRR+LLM,Lo-Fi Hip Hop Chill,0.48381205964952206,0.47368421052631576,0.16666666666666666,0.00046136657483656794,0.2,0
7,Lo-Fi Hip Hop,Text-RAG,Black Metal LoFi Raw,0.4518043019122123,0.59375,0.5,0.17276659919045292,0.25,0
7,Lo-Fi Hip Hop,Text+LLM,Black Metal LoFi Raw,0.4094620913442407,0.42105263157894735,0.16666666666666666,0.00011177024634287493,0.2,0
8,Math Rock Crystal,TRR,Math Rock Crystal Cleans,0.1944605218279546,0.5652173913043478,0.45454545454545453,0.8945496888196253,1.0,0
8,Math Rock Crystal,TRR-TopKMean,mean@5 (Math Rock Crystal Cleans),0.22543112693111172,0.43478260869565216,0.45454545454545453,0.8567288333737132,1.0,0
8,Math Rock Crystal,TRR-TopKWeightedMean,wmean@5 (Math Rock Crystal Cleans),0.22333602691320145,0.43478260869565216,0.45454545454545453,0.8593070709601527,1.0,0
8,Math Rock Crystal,TRR+LLM,Math Rock Crystal Cleans,0.1944605218279546,0.5652173913043478,0.45454545454545453,0.8945496888196253,1.0,0
8,Math Rock Crystal,Text-RAG,Math Rock Crystal Cleans,0.1944605218279546,0.5652173913043478,0.45454545454545453,0.8945496888196253,1.0,0
8,Math Rock Crystal,Text+LLM,Math Rock Crystal Cleans,0.1944605218279546,0.5652173913043478,0.45454545454545453,0.8945496888196253,1.0,0
9,Tweed Breakup,TRR,Vintage Tweed Breakup,0.4935295397999726,0.8461538461538461,0.75,0.5237876444404375,1.0,0
9,Tweed Breakup,TRR-TopKMean,mean@5 (Vintage Tweed Breakup),28.270797383186633,0.5769230769230769,0.4166666666666667,0.0026261671050255377,1.0,0
9,Tweed Breakup,TRR-TopKWeightedMean,wmean@5 (Vintage Tweed Breakup),28.309571368042647,0.5769230769230769,0.4166666666666667,0.0026251152930362297,1.0,0
9,Tweed Breakup,TRR+LLM,Vintage Tweed Breakup,0.4935295397999726,0.8461538461538461,0.75,0.5237876444404375,1.0,0
9,Tweed Breakup,Text-RAG,Vintage Tweed Breakup,0.4935295397999726,0.8461538461538461,0.75,0.5237876444404375,1.0,0
9,Tweed Breakup,Text+LLM,Vintage Tweed Breakup,0.4935295397999726,0.8461538461538461,0.75,0.5237876444404375,1.0,0
10,British Invasion,TRR,British Invasion Classic,0.5491767839009997,0.2857142857142857,0.2727272727272727,0.39889933672295264,1.0,0
10,British Invasion,TRR-TopKMean,mean@5 (British Invasion Classic),19.61253444141113,0.3333333333333333,0.6363636363636364,0.26747508988928104,1.0,0
10,British Invasion,TRR-TopKWeightedMean,wmean@5 (British Invasion Classic),19.900379905819296,0.3333333333333333,0.6363636363636364,0.26729975784938587,1.0,0
10,British Invasion,TRR+LLM,British Invasion Classic,0.5167958013509458,0.2962962962962963,0.2727272727272727,0.3775118012692478,0.3333333333333333,0
10,British Invasion,Text-RAG,British Invasion Classic,0.5491767839009997,0.2857142857142857,0.2727272727272727,0.39889933672295264,1.0,0
10,British Invasion,Text+LLM,British Invasion Classic,0.5167958013509458,0.2962962962962963,0.2727272727272727,0.3775118012692478,0.3333333333333333,0
11,Indie Jangle,TRR,Indie Jangle Bright,0.7313736996658952,0.09523809523809523,0.125,0.3576740550689559,1.0,0
11,Indie Jangle,TRR-TopKMean,mean@5 (Indie Jangle Bright),0.4184620732500568,0.19047619047619047,0.1875,0.7032864670353517,1.0,0
11,Indie Jangle,TRR-TopKWeightedMean,wmean@5 (Indie Jangle Bright),0.4246561894796678,0.09523809523809523,0.125,0.6943521194604105,1.0,0
11,Indie Jangle,TRR+LLM,Indie Jangle Bright,0.7313736996658952,0.09523809523809523,0.125,0.3576740550689559,1.0,0
11,Indie Jangle,Text-RAG,Indie Jangle Bright,0.7313736996658952,0.09523809523809523,0.125,0.3576740550689559,1.0,0
11,Indie Jangle,Text+LLM,Indie Jangle Bright,0.7313736996658952,0.09523809523809523,0.125,0.3576740550689559,1.0,0
12,Midwest Emo,TRR,Midwest Emo Twinkled,0.048507347792973714,0.9230769230769231,0.8333333333333334,0.9899779874756893,1.0,0
12,Midwest Emo,TRR-TopKMean,mean@5 (Midwest Emo Twinkled),0.10419949163492434,0.8076923076923077,0.5833333333333334,0.9612315990173819,1.0,0
12,Midwest Emo,TRR-TopKWeightedMean,wmean@5 (Midwest Emo Twinkled),0.10280163451307128,0.8076923076923077,0.5833333333333334,0.9620795086853319,1.0,0
12,Midwest Emo,TRR+LLM,Midwest Emo Twinkled,0.4385753975040511,0.6153846153846154,0.5833333333333334,0.38416300325324854,0.5,0
12,Midwest Emo,Text-RAG,Midwest Emo Twinkled,0.048507347792973714,0.9230769230769231,0.8333333333333334,0.9899779874756893,1.0,0
12,Midwest Emo,Text+LLM,Midwest Emo Twinkled,0.4385753975040511,0.6153846153846154,0.5833333333333334,0.38416300325324854,0.5,0
13,Dry Funk,TRR,Dry Funk Rhythm,0.47814839246555174,0.7391304347826086,0.8461538461538461,0.7884436081651222,0.8333333333333334,0
13,Dry Funk,TRR-TopKMean,mean@5 (Dry Funk Rhythm),0.34284341495453596,0.6956521739130435,0.6923076923076923,0.8029188074464192,0.8333333333333334,0
13,Dry Funk,TRR-TopKWeightedMean,wmean@5 (Dry Funk Rhythm),0.3517238739073248,0.6956521739130435,0.6923076923076923,0.7989694644916725,0.8333333333333334,0
13,Dry Funk,TRR+LLM,Dry Funk Rhythm,0.4437875596445196,0.8095238095238095,0.8461538461538461,0.8233699177999004,1.0,0
13,Dry Funk,Text-RAG,Spanky Funk,0.6240822696354769,0.37142857142857144,0.15384615384615385,0.285544876453194,0.3333333333333333,0
13,Dry Funk,Text+LLM,Spanky Funk,0.5137664971419814,0.35714285714285715,0.38461538461538464,0.675780313320076,1.0,0
14,Classic Plexi,TRR,Plexi Classic Hot,0.46743229502761424,0.8260869565217391,0.9166666666666666,0.9999802633822616,1.0,0
14,Classic Plexi,TRR-TopKMean,mean@5 (Plexi Classic Hot),29.49288295052458,0.6521739130434783,0.5,0.9999924004690603,1.0,0
14,Classic Plexi,TRR-TopKWeightedMean,wmean@5 (Plexi Classic Hot),27.67671896580849,0.6956521739130435,0.5833333333333334,0.9999921558663672,1.0,0
14,Classic Plexi,TRR+LLM,Plexi Classic Hot,0.46743229502761424,0.8260869565217391,0.9166666666666666,0.9999802633822616,1.0,0
14,Classic Plexi,Text-RAG,Plexi Classic Hot,0.46743229502761424,0.8260869565217391,0.9166666666666666,0.9999802633822616,1.0,0
14,Classic Plexi,Text+LLM,Plexi Classic Hot,0.46743229502761424,0.8260869565217391,0.9166666666666666,0.9999802633822616,1.0,0
15,Brown Sound,TRR,Brown Sound Modern,0.10533554047403243,0.8260869565217391,0.9166666666666666,0.9999988975254281,1.0,0
15,Brown Sound,TRR-TopKMean,mean@5 (Brown Sound Modern),26.698577567460852,0.34782608695652173,0.25,0.9999944963958699,1.0,0
15,Brown Sound,TRR-TopKWeightedMean,wmean@5 (Brown Sound Modern),26.59787162319797,0.34782608695652173,0.25,0.9999945443889848,1.0,0
15,Brown Sound,TRR+LLM,Brown Sound Modern,0.1940749778746272,0.7407407407407407,0.6666666666666666,0.9999956066589498,0.6666666666666666,0
15,Brown Sound,Text-RAG,Saturated Drive Rhythm,3.9883122514899267,0.8461538461538461,0.9166666666666666,0.9999631358305562,0.75,0
15,Brown Sound,Text+LLM,Saturated Drive Rhythm,3.8719450408366196,0.8148148148148148,0.5833333333333334,0.9999966354844257,0.6666666666666666,0
16,Garage Rock Fuzz,TRR,Garage Rock Fuzz Raw,0.06820771706658216,0.8695652173913043,0.8,0.9842185081787346,1.0,0
16,Garage Rock Fuzz,TRR-TopKMean,mean@5 (Garage Rock Fuzz Raw),0.26658886519797537,0.6956521739130435,0.4,0.7132230953862465,1.0,0
16,Garage Rock Fuzz,TRR-TopKWeightedMean,wmean@5 (Garage Rock Fuzz Raw),0.25876175641890165,0.6956521739130435,0.4,0.729994556346533,1.0,0
16,Garage Rock Fuzz,TRR+LLM,Garage Rock Fuzz Raw,0.1421768095396345,0.8148148148148148,0.6,0.9119287050366645,0.6666666666666666,0
16,Garage Rock Fuzz,Text-RAG,Garage Rock Fuzz Raw,0.06820771706658216,0.8695652173913043,0.8,0.9842185081787346,1.0,0
16,Garage Rock Fuzz,Text+LLM,Garage Rock Fuzz Raw,0.1421768095396345,0.8148148148148148,0.6,0.9119287050366645,0.6666666666666666,0
17,Grunge Dirt,TRR,Grunge Dirt Seattle,0.06382145226458046,0.9523809523809523,1.0,0.9747476340714396,1.0,0
17,Grunge Dirt,TRR-TopKMean,mean@5 (Grunge Dirt Seattle),19.143814329100348,0.38095238095238093,0.3333333333333333,0.012788811347522825,1.0,0
17,Grunge Dirt,TRR-TopKWeightedMean,wmean@5 (Grunge Dirt Seattle),18.51852307912869,0.38095238095238093,0.3333333333333333,0.013193591463161953,1.0,0
17,Grunge Dirt,TRR+LLM,Grunge Dirt Seattle,0.1207830849718623,0.9130434782608695,1.0,0.9105705745074233,0.5,0
17,Grunge Dirt,Text-RAG,Grunge Dirt Seattle,0.06382145226458046,0.9523809523809523,1.0,0.9747476340714396,1.0,0
17,Grunge Dirt,Text+LLM,Grunge Dirt Seattle,0.1207830849718623,0.9130434782608695,1.0,0.9105705745074233,0.5,0
18,Saturated Rhythm,TRR,Saturated Drive Rhythm,0.6068249459275714,0.8846153846153846,1.0,0.9999631269777047,0.75,0
18,Saturated Rhythm,TRR-TopKMean,mean@5 (Saturated Drive Rhythm),52.9817372274502,0.3076923076923077,0.4166666666666667,0.9997848720368876,0.75,0
18,Saturated Rhythm,TRR-TopKWeightedMean,wmean@5 (Saturated Drive Rhythm),52.542766952077535,0.3076923076923077,0.4166666666666667,0.9997912853506821,0.75,0
18,Saturated Rhythm,TRR+LLM,Saturated Drive Rhythm,0.022505448615642045,1.0,1.0,0.9999999551321064,1.0,0
18,Saturated Rhythm,Text-RAG,Saturated Drive Rhythm,0.6068249459275714,0.8846153846153846,1.0,0.9999631269777047,0.75,0
18,Saturated Rhythm,Text+LLM,Saturated Drive Rhythm,0.022505448615642045,1.0,1.0,0.9999999551321064,1.0,0
19,Hard Rock Crunch,TRR,Studio Clean,0.15757856241676194,0.5238095238095238,0.35714285714285715,0.9390619886865595,1.0,0
19,Hard Rock Crunch,TRR-TopKMean,mean@5 (Studio Clean),0.25326084399574,0.47619047619047616,0.35714285714285715,0.8768998753901396,1.0,0
19,Hard Rock Crunch,TRR-TopKWeightedMean,wmean@5 (Studio Clean),0.2507706728716157,0.47619047619047616,0.35714285714285715,0.8792469977205811,1.0,0
19,Hard Rock Crunch,TRR+LLM,Studio Clean,0.4111004165651016,0.5625,0.21428571428571427,0.3213064941359594,0.3333333333333333,0
19,Hard Rock Crunch,Text-RAG,Southern Rock,0.41496569772176867,0.45714285714285713,0.21428571428571427,0.1863413874976225,0.3333333333333333,0
19,Hard Rock Crunch,Text+LLM,Southern Rock,0.41496569772176867,0.45714285714285713,0.21428571428571427,0.1863413874976225,0.3333333333333333,0
20,Brian May Style,TRR,Brian May Queen Tone,0.08969767374857666,0.782608695652174,0.8333333333333334,0.9999991991572795,1.0,0
20,Brian May Style,TRR-TopKMean,mean@5 (Brian May Queen Tone),26.618912275029835,0.391304347826087,0.25,0.9999887401963252,1.0,0
20,Brian May Style,TRR-TopKWeightedMean,wmean@5 (Brian May Queen Tone),25.10545778002404,0.391304347826087,0.25,0.9999901250033026,1.0,0
20,Brian May Style,TRR+LLM,Brian May Queen Tone,57.4539282761194,0.5714285714285714,0.5833333333333334,0.0037954451417625363,0.5,0
20,Brian May Style,Text-RAG,Brian May Queen Tone,0.08969767374857666,0.782608695652174,0.8333333333333334,0.9999991991572795,1.0,0
20,Brian May Style,Text+LLM,Brian May Queen Tone,57.4539282761194,0.5714285714285714,0.5833333333333334,0.0037954451417625363,0.5,0
21,80s Hair Metal,TRR,80s Hair Metal Arena,0.2908200831600713,0.7692307692307693,0.7857142857142857,0.8662646521973408,1.0,0
21,80s Hair Metal,TRR-TopKMean,mean@5 (80s Hair Metal Arena),13.056079662999498,0.6538461538461539,0.6428571428571429,0.03550458706722546,1.0,0
21,80s Hair Metal,TRR-TopKWeightedMean,wmean@5 (80s Hair Metal Arena),13.22991535002704,0.6538461538461539,0.6428571428571429,0.0350585014151738,1.0,0
21,80s Hair Metal,TRR+LLM,80s Hair Metal Arena,0.34612008305195446,0.5135135135135135,0.5714285714285714,0.6086266056850662,0.42857142857142855,0
21,80s Hair Metal,Text-RAG,80s Hair Metal Arena,0.009805806756909202,1.0,1.0,0.9997960990424465,1.0,0
21,80s Hair Metal,Text+LLM,80s Hair Metal Arena,0.32299557105155313,0.5945945945945946,0.6428571428571429,0.6780706779956686,0.42857142857142855,0
22,Modern Djent,TRR,Modern Djent Chug,0.7378444502009266,0.7307692307692307,0.6666666666666666,0.6182870265167097,1.0,0
22,Modern Djent,TRR-TopKMean,mean@5 (Modern Djent Chug),13.0570542567697,0.6538461538461539,0.5333333333333333,0.04032699680560488,1.0,0
22,Modern Djent,TRR-TopKWeightedMean,wmean@5 (Modern Djent Chug),12.4951633392242,0.6538461538461539,0.5333333333333333,0.04200450751004609,1.0,0
22,Modern Djent,TRR+LLM,Modern Djent Chug,0.777651574391672,0.6538461538461539,0.5333333333333333,0.5143819477792497,0.75,0
22,Modern Djent,Text-RAG,Modern Djent Chug,0.7378444502009266,0.7307692307692307,0.6666666666666666,0.6182870265167097,1.0,0
22,Modern Djent,Text+LLM,Modern Djent Chug,0.777651574391672,0.6538461538461539,0.5333333333333333,0.5143819477792497,0.75,0
23,Doom/Stoner Fuzz,TRR,DoomStoner Fuzz Heavy,0.5812840431858549,0.34782608695652173,0.125,0.3691699983659013,1.0,0
23,Doom/Stoner Fuzz,TRR-TopKMean,mean@5 (DoomStoner Fuzz Heavy),44.25594478585243,0.30434782608695654,0.25,0.007927053428388462,1.0,0
23,Doom/Stoner Fuzz,TRR-TopKWeightedMean,wmean@5 (DoomStoner Fuzz Heavy),44.94114180228498,0.30434782608695654,0.25,0.007862114903249427,1.0,0
23,Doom/Stoner Fuzz,TRR+LLM,DoomStoner Fuzz Heavy,0.5812840431858549,0.34782608695652173,0.125,0.3691699983659013,1.0,0
23,Doom/Stoner Fuzz,Text-RAG,DoomStoner Fuzz Heavy,0.5812840431858549,0.34782608695652173,0.125,0.3691699983659013,1.0,0
23,Doom/Stoner Fuzz,Text+LLM,DoomStoner Fuzz Heavy,0.5812840431858549,0.34782608695652173,0.125,0.3691699983659013,1.0,0
24,Industrial Metal,TRR,Industrial Metal Aggressive,0.12612539547852916,0.8461538461538461,0.9285714285714286,0.9666505464991165,1.0,0
24,Industrial Metal,TRR-TopKMean,mean@5 (Industrial Metal Aggressive),41.60830996053186,0.7307692307692307,0.8571428571428571,0.010128931071769588,1.0,0
24,Industrial Metal,TRR-TopKWeightedMean,wmean@5 (Industrial Metal Aggressive),41.46031816325344,0.7307692307692307,0.8571428571428571,0.010168431286798221,1.0,0
24,Industrial Metal,TRR+LLM,Industrial Metal Aggressive,0.43988346752293384,0.59375,0.42857142857142855,0.42288004089581904,0.5,0
24,Industrial Metal,Text-RAG,Industrial Metal Aggressive,0.12612539547852916,0.8461538461538461,0.9285714285714286,0.9666505464991165,1.0,0
24,Industrial Metal,Text+LLM,Industrial Metal Aggressive,0.43988346752293384,0.59375,0.42857142857142855,0.42288004089581904,0.5,0
25,Liquid Lead,TRR,Liquid Lead Smooth,0.3992550269210635,0.782608695652174,0.8461538461538461,0.9999834498690582,1.0,0
25,Liquid Lead,TRR-TopKMean,mean@5 (Liquid Lead Smooth),55.51405719637591,0.4782608695652174,0.46153846153846156,0.9996474379024491,1.0,0
25,Liquid Lead,TRR-TopKWeightedMean,wmean@5 (Liquid Lead Smooth),55.345441745402916,0.4782608695652174,0.46153846153846156,0.999656645763821,1.0,0
25,Liquid Lead,TRR+LLM,Liquid Lead Smooth,57.076387372743994,0.35294117647058826,0.3076923076923077,0.0025852252924701653,0.42857142857142855,0
