acc_at_0_1,cosine,group,kb_size,method,module,n,norm_l2,pnr_at_10_t0_10,pnr_at_1_t0_10,pnr_at_5_t0_10,recall,switch_accuracy,switch_f1,switch_precision,switch_recall
0.6413217974510914,0.7735843816657464,0.020,151,CLAP,0.6096797871364346,173,0.2686887321570166,0.18497109826589594,0.08670520231213873,0.1676300578034682,0.5259034214359845,0.674373795761079,0.7351020527321106,0.8246628131021195,0.7113680154142582
0.6277197746624064,0.7397026286369568,0.020,151,FeatureNN,0.5336931995020229,204,0.28356161738535063,0.14215686274509803,0.058823529411764705,0.13725490196078433,0.5133625849377969,0.6279956427015252,0.6677584398172632,0.7626750700280113,0.6510212418300654
0.6393893498881227,0.7398243506008879,0.020,151,PaSST,0.5634570494864612,204,0.2757515341410685,0.1715686274509804,0.08823529411764706,0.13725490196078433,0.5160928704822894,0.6541394335511983,0.6853673831615007,0.8177404295051354,0.6442401960784314
0.6744774432096057,0.7623926736597393,0.020,151,TRR,0.5314659197012138,204,0.2510081353609096,0.16666666666666666,0.08333333333333333,0.16176470588235295,0.5487577441131982,0.6236383442265795,0.6639132925897633,0.8063725490196079,0.6357843137254903
0.6586225476135712,0.7613297448938763,0.020,151,Wav2Vec,0.5252781668222845,204,0.25705040500553666,0.17647058823529413,0.0784313725490196,0.1568627450980392,0.5419514251847118,0.6421568627450981,0.6562781173075289,0.8169234360410831,0.6183823529411765
0.5930634391752773,0.750500649724225,0.050,117,CLAP,0.6217657583264519,173,0.3112768549622604,0.04046242774566474,0.011560693641618497,0.04046242774566474,0.48566423942146486,0.6801541425818882,0.7564822460776219,0.7793834296724469,0.7687861271676301
0.59643977814867,0.704072180441792,0.050,117,FeatureNN,0.5012780112044817,204,0.3103891506758585,0.049019607843137254,0.00980392156862745,0.049019607843137254,0.4779714944975093,0.6002178649237473,0.6435270339682105,0.7438842203548087,0.6229575163398692
0.5936737021099421,0.685850316491736,0.050,117,PaSST,0.4997082166199813,204,0.3175724693745858,0.049019607843137254,0.014705882352941176,0.03431372549019608,0.4669276998220352,0.6029411764705882,0.6365508674332203,0.762593370681606,0.607788671023965
0.616852402794654,0.71600060242665,0.050,117,TRR,0.5377139744786803,204,0.29322176262924077,0.03431372549019608,0.0196078431372549,0.03431372549019608,0.49183174225803206,0.6269063180827888,0.6787556669909611,0.7721405228758169,0.6767837690631808
0.6007067250781546,0.7387549186804554,0.050,117,Wav2Vec,0.5750992063492063,204,0.3048184341632738,0.0392156862745098,0.024509803921568627,0.0392156862745098,0.49754476267157427,0.6688453159041395,0.710286336756925,0.7767273576097106,0.7215686274509804
