method,query_idx,query_name,status,top1_acc_at_0_1,top1_cosine,top1_legacy_module_jaccard,top1_module,top1_name,top1_norm_l2,top1_recall,top1_switch_accuracy,top1_switch_f1,top1_switch_precision,top1_switch_recall
Wav2Vec_RP4096,813,Technical Thrash Wrath,ok,0.6610169491525424,0.6618851322672699,0.2857142857142857,0.2857142857142857,Drum and Bass Beat,0.3151740860944194,0.6,0.4444444444444444,0.4444444444444444,0.3333333333333333,0.6666666666666666
Wav2Vec_RP4096,380,Honky Tonk Tears,ok,0.6206896551724138,0.6857340929375733,0.5555555555555556,0.5555555555555556,Gabber Hardcore,0.3105363807104887,0.4411764705882353,0.5555555555555556,0.7142857142857143,1.0,0.5555555555555556
Wav2Vec_RP4096,225,Slacker Rock,ok,0.603448275862069,0.7357507174096283,0.5555555555555556,0.5555555555555556,Scandinavian Black Metal,0.2659814776914903,0.4117647058823529,0.5555555555555556,0.7142857142857143,1.0,0.5555555555555556
Wav2Vec_RP4096,960,Country Telecaster Frontier,ok,0.6818181818181818,0.8841123362671583,0.8333333333333334,0.8333333333333334,Hyperpop Glitch Synth,0.21140596617583432,0.625,0.8888888888888888,0.9090909090909091,0.8333333333333334,1.0
Wav2Vec_RP4096,119,Footwork Jungle,ok,0.4791666666666667,0.7727178996921082,0.6666666666666666,0.6666666666666666,Drum and Bass Cyber,0.3080006774810511,0.4,0.6666666666666666,0.8,1.0,0.6666666666666666
Wav2Vec_RP4096,277,Yacht Rock Smooth,ok,0.7391304347826086,0.9109995500010657,0.6,0.6,Synth Pop Dream,0.155191727436968,0.7,0.7777777777777778,0.7499999999999999,0.6,1.0
Wav2Vec_RP4096,749,Sludge Metal Wrath,ok,0.7555555555555555,0.8520920382912558,0.6,0.6,K-Pop Polished,0.2119820423432311,0.6842105263157895,0.7777777777777778,0.7499999999999999,0.6,1.0
Wav2Vec_RP4096,16,Midwest Emo,ok,0.6346153846153846,0.7508807493297006,0.4,0.4,Wet Fusion,0.24452809237811693,0.5217391304347826,0.6666666666666666,0.5714285714285715,0.5,0.6666666666666666
Wav2Vec_RP4096,1070,Midwest Emo Twinkled,ok,0.6153846153846154,0.7362248170487559,0.4,0.4,Wet Fusion,0.25484208820193827,0.5,0.6666666666666666,0.5714285714285715,0.5,0.6666666666666666
Wav2Vec_RP4096,1114,Midwest Emo - Warm Room Take,ok,0.6346153846153846,0.7508807493297006,0.4,0.4,Wet Fusion,0.24452809237811693,0.5217391304347826,0.6666666666666666,0.5714285714285715,0.5,0.6666666666666666
Wav2Vec_RP4096,1144,Midwest Emo - Open Chord Mix,ok,0.6346153846153846,0.7508807493297006,0.4,0.4,Wet Fusion,0.24452809237811693,0.5217391304347826,0.6666666666666666,0.5714285714285715,0.5,0.6666666666666666
Wav2Vec_RP4096,1174,Midwest Emo - Glass Tone Pass,ok,0.6346153846153846,0.7508807493297006,0.4,0.4,Wet Fusion,0.24452809237811693,0.5217391304347826,0.6666666666666666,0.5714285714285715,0.5,0.6666666666666666
Wav2Vec_RP4096,1204,Midwest Emo - Natural Body Edit,ok,0.6346153846153846,0.7508807493297006,0.4,0.4,Wet Fusion,0.24452809237811693,0.5217391304347826,0.6666666666666666,0.5714285714285715,0.5,0.6666666666666666
Wav2Vec_RP4096,1234,Midwest Emo - Bright Air Version,ok,0.6346153846153846,0.7508807493297006,0.4,0.4,Wet Fusion,0.24452809237811693,0.5217391304347826,0.6666666666666666,0.5714285714285715,0.5,0.6666666666666666
Wav2Vec_RP4096,1264,Midwest Emo - Round Note Cut,ok,0.6346153846153846,0.7508807493297006,0.4,0.4,Wet Fusion,0.24452809237811693,0.5217391304347826,0.6666666666666666,0.5714285714285715,0.5,0.6666666666666666
Wav2Vec_RP4096,248,Talk Box Funk,ok,0.6666666666666666,0.7750524955333016,0.3333333333333333,0.3333333333333333,Desert Blues,0.2429798604114899,0.7727272727272727,0.3333333333333333,0.5,0.3333333333333333,1.0
Wav2Vec_RP4096,1054,Lo-Fi Bedroom Pop Indie,ok,0.8974358974358975,0.988318767348405,1.0,1.0,Philadelphia Soul Philly,0.0582655541209929,0.8333333333333334,1.0,1.0,1.0,1.0
